filename,width,height,class,xmin,ymin,xmax,ymax
DSC02844_JPG.rf.f690c116e04ade0c525767059eef99c5.jpg,640,640,Botol Plastik,287,296,323,442
DSC02419_JPG.rf.f31bb6a5b12d8bfef1881f9e04da44b6.jpg,640,640,Bungkus Makanan,313,583,337,623
DSC02419_JPG.rf.f31bb6a5b12d8bfef1881f9e04da44b6.jpg,640,640,Bungkus Minuman,255,418,297,498
DSC02419_JPG.rf.f31bb6a5b12d8bfef1881f9e04da44b6.jpg,640,640,Kantong Plastik,373,257,413,307
DSC02419_JPG.rf.f31bb6a5b12d8bfef1881f9e04da44b6.jpg,640,640,Bungkus Makanan,266,130,296,172
DSC02419_JPG.rf.f31bb6a5b12d8bfef1881f9e04da44b6.jpg,640,640,Kantong Plastik,208,121,277,220
DSC02419_JPG.rf.f31bb6a5b12d8bfef1881f9e04da44b6.jpg,640,640,Kantong Plastik,210,60,254,108
DSC02419_JPG.rf.f31bb6a5b12d8bfef1881f9e04da44b6.jpg,640,640,Kantong Plastik,146,139,201,186
DSC02419_JPG.rf.f31bb6a5b12d8bfef1881f9e04da44b6.jpg,640,640,Kantong Plastik,56,55,103,103
DSC02419_JPG.rf.f31bb6a5b12d8bfef1881f9e04da44b6.jpg,640,640,Bungkus Makanan,160,33,215,78
DSC02419_JPG.rf.f31bb6a5b12d8bfef1881f9e04da44b6.jpg,640,640,Bungkus Minuman,41,12,66,42
DSC02419_JPG.rf.f31bb6a5b12d8bfef1881f9e04da44b6.jpg,640,640,Bungkus Minuman,65,304,95,334
DSC02419_JPG.rf.f31bb6a5b12d8bfef1881f9e04da44b6.jpg,640,640,Bungkus Makanan,36,282,68,325
231-anorganik_jpeg.rf.f39c7c168d2ba2fe3345d2587795cbad.jpg,640,640,Bungkus Makanan,2,49,85,188
231-anorganik_jpeg.rf.f39c7c168d2ba2fe3345d2587795cbad.jpg,640,640,Bungkus Makanan,288,184,481,493
DSC03170_JPG.rf.f4c75112329dcec8ac2f821b942bb4f2.jpg,640,640,Bungkus Minuman,278,204,305,240
DSC03170_JPG.rf.f4c75112329dcec8ac2f821b942bb4f2.jpg,640,640,Bungkus Minuman,319,482,337,505
DSC03156_JPG.rf.f479cb33fcc138e4b7cd7f60164d027c.jpg,640,640,Bungkus Makanan,45,329,114,390
DSC03156_JPG.rf.f479cb33fcc138e4b7cd7f60164d027c.jpg,640,640,Bungkus Makanan,402,461,461,532
DSC03156_JPG.rf.f479cb33fcc138e4b7cd7f60164d027c.jpg,640,640,Bungkus Makanan,493,216,566,283
DSC03156_JPG.rf.f479cb33fcc138e4b7cd7f60164d027c.jpg,640,640,Botol Plastik,166,578,229,624
DSC02694_JPG.rf.f3fe23da77e819f2f9aae85e61585cd8.jpg,640,640,Bungkus Minuman,52,479,70,514
DSC02694_JPG.rf.f3fe23da77e819f2f9aae85e61585cd8.jpg,640,640,Bungkus Minuman,33,490,52,520
DSC02694_JPG.rf.f3fe23da77e819f2f9aae85e61585cd8.jpg,640,640,Bungkus Minuman,175,312,194,337
DSC02694_JPG.rf.f3fe23da77e819f2f9aae85e61585cd8.jpg,640,640,Bungkus Minuman,172,338,195,359
DSC02694_JPG.rf.f3fe23da77e819f2f9aae85e61585cd8.jpg,640,640,Bungkus Minuman,428,497,457,533
DSC02694_JPG.rf.f3fe23da77e819f2f9aae85e61585cd8.jpg,640,640,Bungkus Minuman,496,342,513,363
DSC02694_JPG.rf.f3fe23da77e819f2f9aae85e61585cd8.jpg,640,640,Bungkus Minuman,403,308,425,332
DSC02694_JPG.rf.f3fe23da77e819f2f9aae85e61585cd8.jpg,640,640,Botol Plastik,419,274,451,304
DSC02694_JPG.rf.f3fe23da77e819f2f9aae85e61585cd8.jpg,640,640,Botol Plastik,425,265,458,300
DSC02694_JPG.rf.f3fe23da77e819f2f9aae85e61585cd8.jpg,640,640,Bungkus Minuman,438,266,461,291
DSC02694_JPG.rf.f3fe23da77e819f2f9aae85e61585cd8.jpg,640,640,Bungkus Minuman,547,147,564,172
DSC02694_JPG.rf.f3fe23da77e819f2f9aae85e61585cd8.jpg,640,640,Bungkus Minuman,558,188,573,213
DSC02694_JPG.rf.f3fe23da77e819f2f9aae85e61585cd8.jpg,640,640,Bungkus Minuman,598,29,611,50
DSC02694_JPG.rf.f3fe23da77e819f2f9aae85e61585cd8.jpg,640,640,Kantong Plastik,532,146,552,170
DSC02694_JPG.rf.f3fe23da77e819f2f9aae85e61585cd8.jpg,640,640,Kantong Plastik,511,180,531,208
DSC02694_JPG.rf.f3fe23da77e819f2f9aae85e61585cd8.jpg,640,640,Kantong Plastik,440,301,473,340
DSC02694_JPG.rf.f3fe23da77e819f2f9aae85e61585cd8.jpg,640,640,Kantong Plastik,257,216,310,262
DSC02694_JPG.rf.f3fe23da77e819f2f9aae85e61585cd8.jpg,640,640,Bungkus Makanan,216,268,261,312
DSC02694_JPG.rf.f3fe23da77e819f2f9aae85e61585cd8.jpg,640,640,Bungkus Makanan,146,325,179,352
DSC02694_JPG.rf.f3fe23da77e819f2f9aae85e61585cd8.jpg,640,640,Bungkus Makanan,294,259,349,301
DSC02694_JPG.rf.f3fe23da77e819f2f9aae85e61585cd8.jpg,640,640,Bungkus Makanan,408,552,462,609
DSC02694_JPG.rf.f3fe23da77e819f2f9aae85e61585cd8.jpg,640,640,Bungkus Makanan,430,328,458,361
DSC02694_JPG.rf.f3fe23da77e819f2f9aae85e61585cd8.jpg,640,640,Bungkus Makanan,434,386,447,439
DSC02694_JPG.rf.f3fe23da77e819f2f9aae85e61585cd8.jpg,640,640,Bungkus Makanan,569,209,594,241
DSC02694_JPG.rf.f3fe23da77e819f2f9aae85e61585cd8.jpg,640,640,Botol Plastik,396,270,443,323
DSC02694_JPG.rf.f3fe23da77e819f2f9aae85e61585cd8.jpg,640,640,Botol Plastik,468,315,504,349
DSC02694_JPG.rf.f3fe23da77e819f2f9aae85e61585cd8.jpg,640,640,Botol Plastik,499,297,520,335
DSC02694_JPG.rf.f3fe23da77e819f2f9aae85e61585cd8.jpg,640,640,Botol Plastik,443,365,467,443
DSC02694_JPG.rf.f3fe23da77e819f2f9aae85e61585cd8.jpg,640,640,Botol Plastik,465,476,489,520
DSC02694_JPG.rf.f3fe23da77e819f2f9aae85e61585cd8.jpg,640,640,Botol Plastik,379,540,423,601
DSC03143_JPG.rf.f6e23ff9458ac0b0e6a1a97429a8dcda.jpg,640,640,Bungkus Makanan,310,186,437,337
DSC03143_JPG.rf.f6e23ff9458ac0b0e6a1a97429a8dcda.jpg,640,640,Botol Plastik,155,380,255,574
DSC02746_JPG.rf.f40bb57428f0369e223ec139b4e700ef.jpg,640,640,Bungkus Minuman,286,100,334,211
DSC02746_JPG.rf.f40bb57428f0369e223ec139b4e700ef.jpg,640,640,Bungkus Minuman,171,500,237,618
DSC03079_JPG.rf.f6f46d535c922a08104a9209e25d7e33.jpg,640,640,Bungkus Makanan,357,86,381,131
DSC03079_JPG.rf.f6f46d535c922a08104a9209e25d7e33.jpg,640,640,Bungkus Makanan,354,155,385,185
DSC03079_JPG.rf.f6f46d535c922a08104a9209e25d7e33.jpg,640,640,Bungkus Makanan,211,551,254,610
DSC03079_JPG.rf.f6f46d535c922a08104a9209e25d7e33.jpg,640,640,Bungkus Makanan,130,564,167,617
DSC03079_JPG.rf.f6f46d535c922a08104a9209e25d7e33.jpg,640,640,Kantong Plastik,51,346,87,400
DSC03079_JPG.rf.f6f46d535c922a08104a9209e25d7e33.jpg,640,640,Bungkus Minuman,426,470,446,511
DSC03079_JPG.rf.f6f46d535c922a08104a9209e25d7e33.jpg,640,640,Bungkus Makanan,611,525,633,557
197-anorganik_jpeg.rf.f509ae65930349c1e75416481c9a6008.jpg,640,640,Kantong Plastik,161,209,390,420
197-anorganik_jpeg.rf.f509ae65930349c1e75416481c9a6008.jpg,640,640,Bungkus Makanan,413,475,523,562
DSC02786_JPG.rf.f6d58c9c5247f98b6d4eee3297c4b9ee.jpg,640,640,Bungkus Minuman,237,208,396,485
DSC02819_JPG.rf.f88e0cf1c6eebb1e074f7df22c4907c8.jpg,640,640,Kantong Plastik,277,219,374,435
DSC02391_JPG.rf.f8538085d687225fb6a62ca7b71d21bd.jpg,640,640,Kantong Plastik,114,469,159,563
DSC02391_JPG.rf.f8538085d687225fb6a62ca7b71d21bd.jpg,640,640,Bungkus Makanan,206,509,264,602
DSC02391_JPG.rf.f8538085d687225fb6a62ca7b71d21bd.jpg,640,640,Kantong Plastik,281,340,312,428
DSC02391_JPG.rf.f8538085d687225fb6a62ca7b71d21bd.jpg,640,640,Bungkus Minuman,311,52,362,141
DSC02756_JPG.rf.f26f7c22066d2a2ade0081d0882e941e.jpg,640,640,Bungkus Minuman,133,419,175,463
DSC02756_JPG.rf.f26f7c22066d2a2ade0081d0882e941e.jpg,640,640,Bungkus Minuman,346,364,378,419
255-anorganik_jpeg.rf.f6f70a562cbf9f56eb875557e089960e.jpg,640,640,Bungkus Makanan,187,117,530,392
232-anorganik_jpeg.rf.f89ebe245a076cd189d6ad22a12b73a3.jpg,640,640,Bungkus Makanan,244,246,384,373
